source|target|weight
ur.0621643160.19|ur.0621643160.19|54
ur.0621643160.19|ur.0632511150.69|44
ur.0621643160.19|ur.01017036620.03|37
ur.0621643160.19|ur.01106116117.02|26
ur.0621643160.19|ur.01331056567.35|12
ur.0621643160.19|ur.0775325121.62|12
ur.0621643160.19|ur.01061254536.75|10
ur.0621643160.19|ur.010216223411.87|10
ur.0621643160.19|ur.016042606472.36|10
ur.0621643160.19|ur.0767651144.84|10
ur.0621643160.19|ur.01212562774.72|8
ur.0621643160.19|ur.01005350474.77|8
ur.0621643160.19|ur.01152151243.29|7
ur.0621643160.19|ur.0712067676.85|6
ur.0621643160.19|ur.010434714444.72|6
ur.0621643160.19|ur.01004776104.69|4
ur.0621643160.19|ur.01270211166.22|4
ur.0621643160.19|ur.0775446106.53|3
ur.0621643160.19|ur.0772277102.18|3
ur.0621643160.19|ur.014152014735.71|3
ur.0621643160.19|ur.01370021645.17|3
ur.0621643160.19|ur.01262234203.57|3
ur.0621643160.19|ur.01201357361.13|3
ur.0621643160.19|ur.01161633026.26|3
ur.0621643160.19|ur.01144041011.33|3
ur.0621643160.19|ur.011412565763.37|3
ur.0621643160.19|ur.0711063171.98|2
ur.0621643160.19|ur.01240545576.43|2
ur.0621643160.19|ur.014732510515.04|2
ur.0621643160.19|ur.016037200254.68|2
ur.0621643160.19|ur.0651661317.47|2
ur.0621643160.19|ur.0705207637.43|2
ur.0621643160.19|ur.01061017360.21|2
ur.0621643160.19|ur.01137531577.42|2
ur.0621643160.19|ur.01005433737.34|1
ur.0621643160.19|ur.01306513376.45|1
ur.0621643160.19|ur.01247073502.08|1
ur.0621643160.19|ur.01224031676.37|1
ur.0621643160.19|ur.01170402002.42|1
ur.0621643160.19|ur.01167750503.30|1
ur.0621643160.19|ur.01165245747.67|1
ur.0621643160.19|ur.01060742250.24|1
ur.0621643160.19|ur.01057707500.19|1
ur.0621643160.19|ur.0755572020.37|1
ur.0632511150.69|ur.0632511150.69|25
ur.0632511150.69|ur.01017036620.03|23
ur.0632511150.69|ur.01106116117.02|19
ur.0632511150.69|ur.01331056567.35|6
ur.0632511150.69|ur.0621643160.19|5
ur.0632511150.69|ur.01152151243.29|5
ur.0632511150.69|ur.0767651144.84|3
ur.0632511150.69|ur.016042606472.36|3
ur.0632511150.69|ur.01061254536.75|3
ur.0632511150.69|ur.010216223411.87|3
ur.0632511150.69|ur.01270211166.22|2
ur.0632511150.69|ur.01004776104.69|2
ur.0632511150.69|ur.01005350474.77|2
ur.0632511150.69|ur.01212562774.72|2
ur.0632511150.69|ur.01370465677.06|1
ur.0632511150.69|ur.01370021645.17|1
ur.0632511150.69|ur.013166255175.02|1
ur.0632511150.69|ur.01240545576.43|1
ur.0632511150.69|ur.01170402002.42|1
ur.0632511150.69|ur.01046056107.42|1
ur.0632511150.69|ur.01005433737.34|1
ur.0632511150.69|ur.0633456602.93|1
ur.0632511150.69|ur.0775325121.62|1
ur.0632511150.69|ur.0775446106.53|1
ur.0632511150.69|ur.014732510515.04|1
ur.01207120103.29|ur.0721730631.45|37
ur.01207120103.29|ur.01207120103.29|35
ur.01207120103.29|ur.07423561367.62|25
ur.01207120103.29|ur.01242565474.00|21
ur.01207120103.29|ur.0657076451.24|19
ur.01207120103.29|ur.0767105504.29|15
ur.01207120103.29|ur.011033016243.08|14
ur.01207120103.29|ur.011535264111.51|14
ur.01207120103.29|ur.0721775233.60|13
ur.01207120103.29|ur.01100431331.04|11
ur.01207120103.29|ur.0722660612.29|10
ur.01207120103.29|ur.0640512403.86|9
ur.01207120103.29|ur.010546143103.08|8
ur.01207120103.29|ur.0704160417.51|6
ur.01207120103.29|ur.01107342035.04|3
ur.01207120103.29|ur.01000602647.66|3
ur.01207120103.29|ur.010542646154.35|3
ur.01207120103.29|ur.014515335362.20|3
ur.01207120103.29|ur.01146660016.40|3
ur.01207120103.29|ur.0674632425.14|3
ur.01207120103.29|ur.010524013447.10|2
ur.01207120103.29|ur.01037737316.13|2
ur.01207120103.29|ur.01027345757.23|2
ur.01207120103.29|ur.01016454100.33|2
ur.01207120103.29|ur.01013163063.00|2
ur.01207120103.29|ur.01005504116.00|2
ur.01207120103.29|ur.01332351610.88|2
ur.01207120103.29|ur.0737006177.12|2
ur.01207120103.29|ur.0727303777.13|2
ur.01207120103.29|ur.0621336461.89|2
ur.01207120103.29|ur.014615403714.34|2
ur.01207120103.29|ur.01350304715.28|2
ur.01207120103.29|ur.01257703457.74|2
ur.01207120103.29|ur.01242425256.87|2
ur.01207120103.29|ur.012137371515.19|2
ur.01207120103.29|ur.01174312056.32|2
ur.01207120103.29|ur.01167557463.05|2
ur.01207120103.29|ur.01153641630.87|1
ur.01207120103.29|ur.01155565654.71|1
ur.01207120103.29|ur.011665231651.17|1
ur.01207120103.29|ur.01167023566.98|1
ur.01207120103.29|ur.01167332553.13|1
ur.01207120103.29|ur.01170113007.08|1
ur.01207120103.29|ur.01200600261.85|1
ur.01207120103.29|ur.01202507204.56|1
ur.01207120103.29|ur.01206043275.56|1
ur.01207120103.29|ur.012073201224.71|1
ur.01207120103.29|ur.01211477472.34|1
ur.01207120103.29|ur.01217153226.17|1
ur.01207120103.29|ur.01226407050.99|1
ur.01207120103.29|ur.01240065337.32|1
ur.01207120103.29|ur.01242152210.18|1
ur.01207120103.29|ur.01134451774.70|1
ur.01207120103.29|ur.01107670715.58|1
ur.01207120103.29|ur.01106534704.27|1
