source|target|weight
ur.01153754354.91|ur.01270235327.24|4
ur.01153754354.91|ur.01326610423.52|2
ur.01153754354.91|ur.012717231635.33|2
ur.01153754354.91|ur.01073016174.49|1
ur.01153754354.91|ur.013360137015.60|1
ur.01153754354.91|ur.016351021375.63|1
ur.01153754354.91|ur.014034553115.79|1
ur.01153754354.91|ur.01205630561.66|1
ur.01153754354.91|ur.016151173635.14|1
ur.01153754354.91|ur.01304367114.15|1
ur.01153754354.91|ur.01200270221.26|1
ur.01153754354.91|ur.01027707610.15|2
ur.01153754354.91|ur.0607103327.82|1
ur.01153754354.91|ur.01360551577.18|1
ur.01153754354.91|ur.01154006727.00|1
ur.01153754354.91|ur.013074006673.32|1
ur.01153754354.91|ur.0643007425.84|1
ur.01153754354.91|ur.0747032744.26|1
ur.01270235327.24|ur.01326610423.52|2
ur.01270235327.24|ur.01200270221.26|1
ur.01270235327.24|ur.01027707610.15|1
ur.01270235327.24|ur.0607103327.82|1
ur.01270235327.24|ur.01360551577.18|1
ur.01270235327.24|ur.01154006727.00|1
ur.01270235327.24|ur.013074006673.32|1
ur.01270235327.24|ur.012717231635.33|1
ur.07541605423.18|ur.0674300727.83|1
ur.07541605423.18|ur.01201000573.87|1
ur.01201000573.87|ur.0674300727.83|1
ur.0706204515.71|ur.01165772664.42|1
ur.0706204515.71|ur.0612336673.17|1
ur.0706204515.71|ur.01036471035.73|2
ur.01207120103.29|ur.011033016243.08|2
ur.01207120103.29|ur.0767105504.29|2
ur.01207120103.29|ur.0657076451.24|2
ur.01207120103.29|ur.01242565474.00|3
ur.01207120103.29|ur.011535264111.51|2
ur.01207120103.29|ur.07423561367.62|6
ur.01207120103.29|ur.0721730631.45|11
ur.01207120103.29|ur.016026302173.26|2
ur.01207120103.29|ur.010340372063.09|2
ur.01207120103.29|ur.0723650047.49|1
ur.01207120103.29|ur.0721775233.60|5
ur.01207120103.29|ur.01100431331.04|3
ur.01207120103.29|ur.01032316131.09|1
ur.01207120103.29|ur.01324571004.87|1
ur.01207120103.29|ur.01167557463.05|2
ur.01207120103.29|ur.0650322642.18|1
ur.01207120103.29|ur.01367004535.41|1
ur.01207120103.29|ur.01360204563.80|1
ur.01207120103.29|ur.01253355521.43|1
ur.01207120103.29|ur.01340526721.32|1
ur.01207120103.29|ur.01236223766.99|1
ur.01207120103.29|ur.0640512403.86|3
ur.01207120103.29|ur.010205212117.50|1
ur.01207120103.29|ur.0674632425.14|1
ur.01207120103.29|ur.01107342035.04|1
ur.01207120103.29|ur.0763244404.65|1
ur.01207120103.29|ur.01064146320.53|1
ur.01207120103.29|ur.010546143103.08|1
ur.01207120103.29|ur.010524013447.10|1
ur.01207120103.29|ur.0621336461.89|1
ur.01207120103.29|ur.01332351610.88|1
ur.01207120103.29|ur.014615403714.34|1
ur.01207120103.29|ur.0722660612.29|1
ur.01207120103.29|ur.01364421314.77|1
ur.01207120103.29|ur.0772212750.06|1
ur.0721730631.45|ur.011033016243.08|2
ur.0721730631.45|ur.0767105504.29|3
ur.0721730631.45|ur.0657076451.24|2
ur.0721730631.45|ur.01242565474.00|3
ur.0721730631.45|ur.011535264111.51|2
ur.0721730631.45|ur.07423561367.62|6
ur.0721730631.45|ur.016026302173.26|2
ur.0721730631.45|ur.010340372063.09|1
ur.0721730631.45|ur.0723650047.49|1
ur.0721730631.45|ur.0721775233.60|5
ur.0721730631.45|ur.01100431331.04|3
ur.0721730631.45|ur.01032316131.09|1
ur.0721730631.45|ur.01324571004.87|1
ur.0721730631.45|ur.01167557463.05|2
ur.0721730631.45|ur.0650322642.18|1
ur.0721730631.45|ur.0640512403.86|3
ur.0721730631.45|ur.010205212117.50|1
ur.0721730631.45|ur.0674632425.14|1
ur.0721730631.45|ur.01107342035.04|1
ur.0721730631.45|ur.0763244404.65|1
ur.0721730631.45|ur.01064146320.53|1
ur.0721730631.45|ur.010546143103.08|1
ur.0721730631.45|ur.010524013447.10|1
ur.0721730631.45|ur.0621336461.89|1
ur.0721730631.45|ur.01332351610.88|1
ur.0721730631.45|ur.014615403714.34|1
ur.0721730631.45|ur.0722660612.29|1
ur.07423561367.62|ur.011033016243.08|2
