id|Citations|Productivity|Degree|Nationality|aff_country|Gender|Nationality_Region|Nationality_IncomeGroup|aff_country_Region|aff_country_IncomeGroup
ur.01153754354.91|167238|10|24|US|United States|male|North America|High income|North America|High income
ur.01270235327.24|105756|4|13|IE|United States|male|Europe & Central Asia|High income|North America|High income
ur.01326610423.52|97695|2|4|DE|United States|male|Europe & Central Asia|High income|North America|High income
ur.07541605423.18|61498|1|2|KR|United States||East Asia & Pacific|High income|North America|High income
ur.01201000573.87|61498|1|2|CN|United States|male|East Asia & Pacific|Upper middle income|North America|High income
ur.0674300727.83|61498|1|2|GB|United States|male|Europe & Central Asia|High income|North America|High income
ur.0706204515.71|106065|4|4|DE|Austria|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.01165772664.42|48421|1|1|CH|Germany||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.01207120103.29|136316|13|67|RU|United Kingdom||Europe & Central Asia|Upper middle income|Europe & Central Asia|High income
ur.0721730631.45|142042|13|60|TR|United Kingdom||Europe & Central Asia|Upper middle income|Europe & Central Asia|High income
ur.07423561367.62|73111|6|40|RU|United Kingdom||Europe & Central Asia|Upper middle income|Europe & Central Asia|High income
ur.01242565474.00|62775|3|19|CN|United Kingdom||East Asia & Pacific|Upper middle income|Europe & Central Asia|High income
ur.0657076451.24|62874|6|38|CN|China|male|East Asia & Pacific|Upper middle income|East Asia & Pacific|Upper middle income
ur.011535264111.51|55039|2|14|BY|Russia||Europe & Central Asia|Upper middle income|Europe & Central Asia|Upper middle income
ur.0767105504.29|59208|3|15|RU|United Kingdom||Europe & Central Asia|Upper middle income|Europe & Central Asia|High income
ur.011033016243.08|55039|2|14|RU|Russia||Europe & Central Asia|Upper middle income|Europe & Central Asia|Upper middle income
ur.01137123101.53|40272|2|2|AT|Switzerland|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.0612336673.17|35215|1|1|ZA|South Africa|male|Sub-Saharan Africa|Upper middle income|Sub-Saharan Africa|Upper middle income
ur.01212135660.92|64058|3|3|IL|United States|male|Middle East & North Africa|High income|North America|High income
ur.013324660742.20|34653|1|1|MY|United States||East Asia & Pacific|Upper middle income|North America|High income
ur.012401436171.63|32306|1|1|NL|United States|male|Europe & Central Asia|High income|North America|High income
ur.014404706153.05|32306|1|1|US|United States|male|North America|High income|North America|High income
ur.0632511150.69|74946|10|24|HU|United States||Europe & Central Asia|High income|North America|High income
ur.01017036620.03|62324|7|14|GH|United States||Sub-Saharan Africa|Lower middle income|North America|High income
ur.013617370277.09|27460|1|1|AT|France||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.012306176627.11|24226|1|0|SE|Sweden|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.01036471035.73|22429|2|2|AT|Austria|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.07442033622.09|17503|1|2|US|United States||North America|High income|North America|High income
ur.01003107025.98|17503|1|2|TW|United Kingdom|male|||Europe & Central Asia|High income
ur.013334661665.35|17503|1|2|GB|United Kingdom||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.012717231635.33|20085|2|3|CN|United States||East Asia & Pacific|Upper middle income|North America|High income
ur.011533642664.45|16265|1|2|US|United States|male|North America|High income|North America|High income
ur.0777233565.51|16265|1|2|US|United States|male|North America|High income|North America|High income
ur.013033620017.83|16265|1|2|DK|United States|male|Europe & Central Asia|High income|North America|High income
ur.01060311600.37|15220|1|3|GB|United Kingdom||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.0703425043.44|15220|1|3|DE|Sweden||Europe & Central Asia|High income|Europe & Central Asia|High income
ur.012354627662.08|15220|1|3|US|United States||North America|High income|North America|High income
ur.0731647510.44|15220|1|3|CA|United Kingdom||North America|High income|Europe & Central Asia|High income
ur.010340372063.09|17169|2|7|BR|Singapore|male|Latin America & Caribbean|Upper middle income|East Asia & Pacific|High income
ur.0723650047.49|15175|1|4|GN|Spain||Sub-Saharan Africa|Lower middle income|Europe & Central Asia|High income
ur.016026302173.26|21152|2|11|BR|Portugal||Latin America & Caribbean|Upper middle income|Europe & Central Asia|High income
ur.01011650355.04|14723|1|0|RS|United States||Europe & Central Asia|Upper middle income|North America|High income
ur.0577663540.73|21076|4|4|US|United States|male|North America|High income|North America|High income
ur.0721775233.60|28788|5|26|IL|Netherlands||Middle East & North Africa|High income|Europe & Central Asia|High income
ur.016351021375.63|14127|1|6||Canada||||North America|High income
ur.016151173635.14|27287|2|8|SK|Canada|male|Europe & Central Asia|High income|North America|High income
ur.01073016174.49|14127|1|6|KE|United States|male|Sub-Saharan Africa|Lower middle income|North America|High income
ur.01205630561.66|14127|1|6|US|United States|male|North America|High income|North America|High income
ur.014034553115.79|16248|2|7|IN|United States|male|South Asia|Lower middle income|North America|High income
ur.013360137015.60|14127|1|6|PT|Portugal|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.015461566321.61|13160|1|2|PL|Canada||Europe & Central Asia|High income|North America|High income
ur.015102365217.89|13160|1|2|JO|Canada||Middle East & North Africa|Lower middle income|North America|High income
ur.0621643160.19|79831|14|8|GB|United States|male|Europe & Central Asia|High income|North America|High income
ur.01114156164.38|13056|1|0|AU|United States||East Asia & Pacific|High income|North America|High income
ur.01304367114.15|12690|1|1|AT|United States|male|Europe & Central Asia|High income|North America|High income
ur.0770412736.65|17889|3|7|AR|United States|male|Latin America & Caribbean|Upper middle income|North America|High income
ur.014553417502.09|12040|1|0|US|United States|male|North America|High income|North America|High income
ur.0621145454.43|11848|1|2|DK|Australia|male|Europe & Central Asia|High income|East Asia & Pacific|High income
ur.01020333514.12|11848|1|2|TW|United States|male|||North America|High income
ur.07355623634.53|19427|3|2|BO|United States||Latin America & Caribbean|Lower middle income|North America|High income
ur.0775325121.62|21880|2|2|NZ|United States||East Asia & Pacific|High income|North America|High income
ur.0643364073.68|11082|1|0|CA|United States|male|North America|High income|North America|High income
ur.014345025177.25|10899|1|2|CH|United Kingdom|male|Europe & Central Asia|High income|Europe & Central Asia|High income
ur.010316641605.64|14100|2|3|DE|United States|male|Europe & Central Asia|High income|North America|High income
ur.011211464257.08|10899|1|2|US|United States|male|North America|High income|North America|High income
